Unit Art,Unit Name,Plus Ultra,Action Skill 1,Action Skill 2,Auto Skill 1,Auto Skill 2,Tags,Stats,Buffs/Debuffs
,"Faith (MND)
[At School] 
Momo Yaoyorozu","Matryoshka (Plus Ultra)
Inflict 400% damage to one enemy; low chance to Blind enemy for 2 turns","Big Boom
(CD: 5 turns)
Inflict 200% to one enemy; fill PU Gauge by 10%","In Command
(CD: 6 turns)
All allies Auto Heal 20% HP for 3 turns","Accurate Analysis
At the start of each WAVE, enemy -20% ATK for 3 turns","Pen and Sword
When Auto Heal is active on character; +25% ATK","U.A. Student
1-A Student
Hero
Female","HP - 19,736
ATK - 4,154
SPD - 239
Crit Rate - 10","Auto Heal: Recover HP at the start of each turn

Blind: Chance for attack to miss"
,"Knowledge (INT)
[Training] 
Momo Yaoyorozu","Big Boom (Plus Ultra)
Inflict 400% damage to one enemy; fill PU Gauge for all allies by 10%","Matryoshka
(CD: 4 turns)
Inflict 175% damage to all enemies; when used in a +2 CHAIN and it succeeds; enemies -10% SPD  ","Never Stop Learning
(CD: 3 turns)
Fill PU Gauge for one ally by 20%","Ambitious Aspiration
At the start of each WAVE, +40% Skill Damage for 3 turns","Virtuosa
While HP is Below 50%, +40% Skill Damage for 3 turns","U.A. Student
1-A Student
Hero
Female","HP - 19,211
ATK - 4,320
SPD - 229
Crit Rate - 10",N/A
,"Skill (ABL)
[At School] 
Fumikage Tokoyami","Shadow Dance (Plus Ultra)
Inflict 400% damage to one enemy; +30% Crit Rate for 3 turns","Claws from the Abyss
(CD: 4 turns)
Inflict 200% damage to one enemy; gain Double Tap for 3 turns","Perpetual Darkness
(CD: 4 turns)
Enemy -20% SPD for 3 turns; enemy -30% Crit Rate for 3 turns","Black Lament
At start of each WAVE, enemy -10% Crit Rate for 3 turns","Force Among the Shadows
While Double Tap is active on character; +30% ATK","U.A. Student
1-A Student
Hero
Male","HP - 20,361
ATK - 4,059
SPD - 247
Crit Rate - 10",Double Tap: Perform a second normal attack
,"Power (STR)
[Training] 
Fumikage Tokoyami","Claws from the Abyss (Plus Ultra)
Inflict 400% damage to one enemy; low chance to make the enemy Bleed for 3 turns","Shadow Dance
(CD: 3 turns)
Inflict 200% damage to one enemy; +30% ATK","Jet Black Friend
(CD: 5 turns)
+30% SPD for 3 turns; gain Double Tap for 3 turns","Moonlight
At start of each WAVE, +20% Crit Rate for 3 turns","Morning Star
At the start of the battle; fill PU Gauge by 20%","U.A. Student
1-A Student
Hero
Male","HP - 18,520
ATK - 4,471
SPD - 236
Crit Rate - 10","Bleed: Inflicts certain amount of damage when afflicted


Double Tap: Perform a second normal attack"
,"Skill (ABL)
[At School] 
Denki Kaminari","High-Voltage Charge (Plus Ultra)
Inflict 400% to one enemy; low chance to Paralyze enemy for 1 turn","Human Stun Gun
(CD: 4 turns)
Inflict 225% to one enemy; low chance to Paralyze enemy for 1 turn; high chance to gain Confusion for 2 turns","Discharge
(CD: 4 turns)
Fill PU Gauge by 40%","Charge Up
While HP is Above 50%, +25% ATK","Electrified Physique
While HP is Above 50%, +30% Skill Damage","U.A. Student
1-A Student
Hero
Male","HP - 20,33
ATK - 4,063
SPD - 244
Crit Rate - 10",Confuse: Chance to attack someone that isn't targetted or self
,"Destruction (DST)
[Training] 
Denki Kaminari","Human Stun Gun (Plus Ultra)
Inflict 450% damage to one enemy; low chance to Paralyze enemy for 1 turn; high chance to gain Confusion for 2 turns","High-Voltage Discharge
(CD: 4 turns)
Inflict 200% to one enemy; low chance to Paralyze enemy for 1 turn","Recharge
(CD: 5 turns)
+30% ATK for 3 turns; +30% Crit Rate for 3 turns ","In Good Health
While HP is Above 50%, +20% Crit Rate","Goofball Dudes
At start of each WAVE, enemy -20% SPD for 3 turns","U.A. Student
1-A Student
Hero
Male","HP - 18,564
ATK - 4,461
SPD - 234
Crit Rate - 10",Confuse: Chance to attack someone that isn't targetted or self
,"Skill (ABL)
[At School] 
Kyoka Jirou","Stereo Speaker (Plus Ultra)
Inflict 400% damage to one enemy; enemy -30% Crit Rate for 3 turns","Earphone Jack
(CD: 3 turns)
Inflict 200% damage to one enemy; enemy -20% SPD for 3 turns","Deafening Roar
(CD: 5 turns)
Enemy -25% Crit Rate for 3 turns; enemy -20% Skill Damage for 3 turns ","Cool
At start of each WAVE, enemy -20% Crit Rate for 3 turns","Search for the Enemy
At start of each WAVE, enemy -20% SPD for 3 turns","U.A. Student
1-A Student
Hero
Female","HP - 19,736
ATK - 4,154
SPD - 239
Crit Rate - 10",N/A
,"Faith (MND) 
[Training] 
Kyoka Jirou","Earphone Jack (Plus Ultra)
Inflict 400% damage to one enemy; low chance to Confuse the enemy for 2 turns","Stereo Speakers
(CD: 5 turns)
Inflict 175% damage to all enemies; low chance to Confuse enemies for 2 turns ","R&B
(CD: 4 turns)
Heal 25% HP for one ally; one ally +20% Crit Rate for 3 turns","Soul of Rock
At the start of the battle; fill PU Gauge by 20%","Dissonance
At start of each WAVE, enemy -20% ATK for 3 turns","U.A. Student
1-A Student
Hero
Female","HP - 18,586
ATK - 4,434
SPD - 234
Crit Rate - 10",Confuse: Chance to attack someone that isn't targetted or self
,"Destruction (DST)
[At School] 
Amajiki Tamaki","Kraken Blow (Plus Ultra)
Inflict 400% damage; low chance to Restraint enemy for 1 turn","Clam Fist
(CD: 4 turns)
Inflict 200% damage to one enemy; +20% Damage Cut for 2 turns","Picking and Choosing
(CD: 4 turns)
+25% Crit Rate for 3 turns; +25% Skill Damage for 3 turns","Quiet but Powerful
While HP is Above 50%, +20% Crit Rate","As Good as Any Pro
While HP is Above 50%; +30% Skill Damage","U.A. Student
Hero
Big 3
Male","HP - 20,503
ATK - 4,078
SPD - 244
Crit Rate - 10","Restraint: Prevents unit from attacking

Damage Cut: Reduce damage taken"
,"Power (STR)
[At School] 
Mirio Togata","Phantom Uppercut (Plus Ultra)
Inflict 400% damage to one enemy; gain Evasion for 2 hits ","Banishing Blow
(CD: 3 turns)
Inflict 200% damage to one enemy; low chance to Confuse enemy For 2 turns","Instant Transportation 
(CD: 4 turns)
Taunt enemies for 2 turns; +30% SPD for 3 turns","Phantom
At the start of the battle; gain Evasion for 1 hit;
at start of each WAVE, +20% Crit Rate for 3 turns","Humorus
While HP is Below 50%, +25% ATK and gain Evasion for 1 hit (once only)","U.A. Student
Hero
Big 3
Male","HP -  18,740
ATK - 4,494
SPD - 236
Crit Rate - 10","Confuse: Chance to attack someone that isn't targetted or self

Evasion: Damage taken is reduced to 0

Taunt: Forces all enemies to target you"
,"Knowledge (INT)
[Training] 
Hitoshi Shinso","Brainwashing (Plus Ultra)
Inflict 350% damage to one enemy; low chance to Confuse enemy for 2 turns","Tenacity
(CD: 4 turns)
Enemy -30% Crit Rate for 3 turns","Heroic Aspiration
(CD: 4 turns)
Fill PU Gauge by 40%","Kill at First Sight
At start of each WAVE, enemy -20% Crit Rate for 3 turns","The Star of General Studies
At the start of the battle; if there is a 1-A Student unit on the team; fill PU Gauge by 20%","U.A. Student
Hero
Male","HP - 19,543
ATK - 4,101
SPD - 239
Crit Rate - 10",Confuse: Chance to attack someone that isn't targetted or self
